transaction,txTime (ms),propagationTime (ms)
721,5031,2
722,5034,5
723,5033,3
724,5027,3
725,5027,3
726,5064,3
727,5030,3
728,4029,604
729,5047,11
730,5060,3
731,5029,3
732,5047,4
733,5035,3
734,5030,3
735,5029,2
736,5034,3
737,4032,612
738,5035,3
739,5033,3
740,5036,3
741,5033,3
742,5031,3
743,5037,2
744,5026,3
745,5034,2
746,5030,2
747,5041,4
748,4034,590
749,5041,3
750,5027,3
751,5043,2
752,5027,3
753,5034,2
754,5032,3
755,5030,3
756,5036,3
757,5026,3
758,5037,3
759,4031,615
760,5034,2
761,5029,4
762,5036,3
763,5027,3
764,5031,3
765,5034,3
766,5032,2
767,5038,2
768,5026,3
769,5041,4
770,4037,594
771,5032,2
772,5036,3
773,5033,3
774,5029,3
775,5033,3
776,5035,3
777,5034,3
778,5030,2
779,5049,3
780,5032,3
781,4030,603
782,5041,3
783,5027,3
784,5035,2
785,5028,3
786,5032,3
787,5031,3
788,5032,3
789,5028,3
790,5036,2
791,5025,3
792,4034,626
793,5036,2
794,5051,4
795,5030,3
796,5031,3
797,5030,3
798,5030,3
799,5029,3
800,5027,3
801,5029,2
802,5038,3
803,4033,599
804,5041,2
805,5033,3
806,5040,2
807,5047,3
808,5027,3
809,5031,3
810,5034,3
811,5036,2
812,5025,3
813,5036,2
814,4023,604
815,5036,3
816,5026,6
817,5068,3
818,5033,4
819,5033,2
820,5025,3
821,5033,4
822,5046,3
823,5031,2
824,4032,601
825,5037,3
826,5030,4
827,5036,3
828,5035,3
829,5031,2
830,5027,3
831,5026,2
832,5032,3
833,5026,3
834,5043,3
835,4027,610
836,5038,2
837,5028,3
838,5063,3
839,5036,2
840,5032,3
841,5027,3
842,5033,3
843,5035,3
844,5031,3
845,4034,612
846,5052,2
847,5033,210
848,5033,3
849,5034,6
850,4033,605
851,5062,2
852,5029,3
853,5034,4
854,5025,2
855,5033,3
856,5028,3
857,5029,4
858,5039,2
859,5037,2
860,4031,615
861,5035,4
862,5026,2
863,5037,3
864,5029,3
865,5051,2
866,5029,2
867,5030,3
868,5029,3
869,5033,4
870,5034,3
871,4029,605
872,5052,2
873,5024,3
874,5035,3
875,5026,3
876,5031,4
877,5028,2
878,5027,3
879,5034,2
880,5046,3
881,5028,3
882,4033,614
883,5033,3
884,5029,4
885,5048,2
886,5026,3
887,5031,3
888,5039,3
889,5036,3
890,5027,3
891,5031,3
892,5030,3
893,4031,597
894,5044,3
895,5032,3
896,5027,4
897,5036,3
898,5024,3
899,5033,3
900,5029,3
901,5031,3
902,5029,2
903,5025,3
904,5031,3
905,4027,598
906,5034,2
907,5030,5
908,5035,2
909,5031,3
910,5024,3
911,5030,3
912,5028,3
913,5027,2
914,5030,3
915,5028,3
916,5033,6
917,4033,596
918,5031,3
919,5026,3
920,5027,3
921,5038,3
922,5029,2
923,5029,2
924,5028,4
925,5073,3
926,5027,3
927,4043,638
928,5070,3
929,5030,3
930,5028,4
931,5032,3
932,5033,2
933,5028,2
934,5029,3
935,5033,3
936,5032,5
937,4040,604
938,5032,2
939,5027,3
940,5030,3
941,5042,3
942,5029,3
943,5034,3
944,5032,3
945,5036,8
946,5052,3
947,4049,602
948,5037,3
949,5036,3
950,5029,4
951,5027,3
952,5035,2
953,5031,3
954,5051,3
955,5027,2
956,5030,3
957,5028,4
958,4033,602
959,5045,3
960,5032,3
961,5025,3
962,5028,3
963,5021,2
964,5025,3
965,5026,3
